ROI,Vehicle Count,Average Wait Time (s)
Lane 1,10,3.4133333333333327
Lane 2,14,3.633333333333333
Lane 3,5,29.316666666666666
Lane 4,6,28.51111111111111
Lane 5,6,18.344444444444445
Lane 6,8,27.83333333333333
Lane 7,7,23.65833333333333
Lane 8,7,17.666666666666668
Lane 9,7,3.8333333333333335
Lane 10,3,2.1555555555555554
Total Top Street,41,16.64377777777778
Total Bottom Street,32,15.029444444444442
